SKU,DESCRIPTION,BRAND,CATG,GROUP,VENDOR,REPLACE_COST
STEEL-CHAIR,BLUE/GRAY STEEL CUSTOMER CHAIR,ACME,SUPPLY,SUPPLY,ACME,0.00
8811G,ODD SIZE T/F CLAMP FRAME,AMERI,BED,FRAMES,AMERI,29.50
8816G,ODD SIZE TXL-QU CLAMP FRAME,AMERI,BED,FRAMES,AMERI,29.50
CF38,"TWIN 9"" FOUNDATION COVER",AMERI,PROT,TWPRO,AMERI,18.00
CF38XL,"TWINXL 9"" FOUNDATION COVER",AMERI,PROT,TXLPRO,AMERI,19.00
CF53,"FULL 9"" FOUNDATION COVER",AMERI,PROT,FUPRO,AMERI,21.00
CF60,"QUEEN 9"" FOUNDATION COVER",AMERI,PROT,QUPRO,AMERI,23.00
CF72,"SPLIT CK 9"" FOUNDATION COVER",AMERI,PROT,CKPRO,AMERI,19.00
CH38,"TWIN 14"" ZIPPERED ENCASEMENT",AMERI,PROT,TWPRO,AMERI,22.00
CH38XL,"TWINXL 14"" ZIPPERED ENCASEMENT",AMERI,PROT,TXLPRO,AMERI,23.00
CH53,"FULL 14"" ZIPPERED ENCASEMENT",AMERI,PROT,FUPRO,AMERI,25.00
CH60,"QUEEN 14"" ZIPPERED ENCASEMENT",AMERI,PROT,QUPRO,AMERI,27.00
CH72,"CAKING 14"" ZIPPED ENCASEMENT",AMERI,PROT,CKPRO,AMERI,36.00
CH76,"E KING 14"" ZIPPERED ENCASEMENT",AMERI,PROT,EKPRO,AMERI,36.00
CN38,TWIN TENCEL JERSEY PROTECTOR,AMERI,PROT,TWPRO,AMERI,16.00
CN53,FULL TENCEL JERSEY PROTECTOR,AMERI,PROT,FUPRO,AMERI,19.00
CN60,QUEEN TENCEL JERSEY PROTECTOR,AMERI,PROT,QUPRO,AMERI,20.00
CN72,CAKING TENCEL JERSEY PROTECT,AMERI,PROT,CKPRO,AMERI,26.00
CN76,E KING TENCEL JERSEY PROTECTOR,AMERI,PROT,EKPRO,AMERI,26.00
CS38,"TWIN 10"" ZIPPERED ENCASEMENT",AMERI,PROT,TWPRO,AMERI,20.00
CS38XL,"TWINXL 10"" ZIPPERED ENCASEMENT",AMERI,PROT,TXLPRO,AMERI,21.00
CS53,"FULL 10"" ZIPPERED ENCASEMENT",AMERI,PROT,FUPRO,AMERI,23.00
CS60,"QUEEN 10"" ZIPPERED ENCASEMENT",AMERI,PROT,QUPRO,AMERI,25.00
CS72,"CAKING 10"" ZIPPED ENCASEMENT",AMERI,PROT,CKPRO,AMERI,34.00
CS76,"E KING 10"" ZIPPERED ENCASEMENT",AMERI,PROT,EKPRO,AMERI,34.00
CT38,TWIN TERRY CLOTH PROTECTOR,AMERI,PROT,TWPRO,AMERI,13.00
CT38XL,TWINXL TERRY CLOTH PROTECTOR,AMERI,PROT,TXLPRO,AMERI,14.00
CT53,FULL TERRY CLOTH PROTECTOR,AMERI,PROT,FUPRO,AMERI,15.00
CT60,QUEEN TERRY CLOTH PROTECTOR,AMERI,PROT,QUPRO,AMERI,17.00
CT72,CAKING TERRY CLOTH PROTECTOR,AMERI,PROT,CKPRO,AMERI,22.00
CT76,E KING TERRY CLOTH PROTECTOR,AMERI,PROT,EKPRO,AMERI,22.00
K81,TWIN/FULL FRAME,AMERI,BED,FRAMES,AMERI,26.00
K81G,TWIN/FULL FRAME,AMERI,BED,FRAMES,AMERI,30.00
K87,QN/FULL/TWIN FRAME,AMERI,BED,FRAMES,AMERI,35.50
K87G,QN/FULL/TWIN FRAME,AMERI,BED,FRAMES,AMERI,40.00
K88,EK/CK/QN FRAME,AMERI,BED,FRAMES,AMERI,39.50
K88G,EK/CK/QN FRAME,AMERI,BED,FRAMES,AMERI,46.00
PM2416,QUEEN MEMORY FOAM PILLOW,AMERI,PILLOW,PILLOW,AMERI,8.00
PM2815,QN SHREDDED MEMORY FOAM PILLOW,AMERI,PILLOW,PILLOW,AMERI,10.00
PMGR2,QN SHREDDED MEMORY FOAM PILLOW,AMERI,PILLOW,PILLOW,AMERI,6.00
SOFA-M-Q,"QUEEN 5"" SOFA MEMORY FOAM BED",AMERI,FURN,DAYBED,AMERI,135.00
1644-280,"80"" CONSOLE - BISCOTTI",ASPENHOME,FURN,LIVING,FVI,548.44
1644-280B,TV BACKER PANEL - BISCOTTI,ASPENHOME,FURN,LIVING,FVI,385.12
1644-9100,LIFT TOP COCKTAIL TABLE,ASPENHOME,FURN,LIVING,FVI,498.78
I206-406,RAILS HAMILTON-EK,ASPENHOME,FURN,BED,FVI,151.96
I206-407D,FB HAMILTON-K,ASPENHOME,FURN,BED,FVI,480.53
I206-415,HB HAMILTON-K,ASPENHOME,FURN,BED,FVI,547.78
I227-450,"NIGHTSTAND, 2-DWR MILLCREEK",ASPENHOME,FURN,BED,FVI,227.29
I227-451N,1-DRAWER NIGHTSTAND MILLCREEK,ASPENHOME,FURN,BED,FVI,150.80
I227-471,"RAILS, DECKING MILLCREEK-Q",ASPENHOME,FURN,BED,FVI,158.55
I227-472,FB MILLCREEK-Q,ASPENHOME,FURN,BED,FVI,79.34
I227-472D,FB W/STORAGE MILLCREE KING-Q,ASPENHOME,FURN,BED,FVI,227.29
I227-473,HB MILLCREEK-Q,ASPENHOME,FURN,BED,FVI,207.34
I227-474,HB MILLCREEK-K,ASPENHOME,FURN,BED,FVI,279.06
I227-475,"RAILS, DECKING MILLCREEK-EK",ASPENHOME,FURN,BED,FVI,197.37
I227-476,FB MILLCREEK-K,ASPENHOME,FURN,BED,FVI,125.02
I227-476D,FB W/STORAGE MILLCREE KING-K,ASPENHOME,FURN,BED,FVI,278.41
I256-402,RAILS ZANE-Q,ASPENHOME,FURN,BED,FVI,108.06
I256-403,FB ZANE-Q,ASPENHOME,FURN,BED,FVI,82.44
I256-406,RAILS ZANE-EK,ASPENHOME,FURN,BED,FVI,141.56
I256-407,FB ZANE-K,ASPENHOME,FURN,BED,FVI,124.56
I256-412,HB ZANE-Q,ASPENHOME,FURN,BED,FVI,214.64
I256-415,HB ZANE-K,ASPENHOME,FURN,BED,FVI,301.46
I256-450,2-DRAWER NIGHTSTAND ZANE,ASPENHOME,FURN,BED,FVI,239.93
I256-451,1-DRAWER NIGHTSTAND ZANE,ASPENHOME,FURN,BED,FVI,197.75
I256-454,DRESSER ZANE -PARCHMENT,ASPENHOME,FURN,BED,FVI,508.53
I256-469,CHIFFAROBE ZANE -PARCHMENT,ASPENHOME,FURN,BED,FVI,687.77
I262-407,FB PAXTON-K,ASPENHOME,FURN,BED,FVI,297.95
I262-410,"RAILS, DECKING PAXTON-CK",ASPENHOME,FURN,BED,FVI,286.91
I262-415,HB PAXTON-K,ASPENHOME,FURN,BED,FVI,616.86
I262-451,2-DRAWER NIGHTSTAND PAXTON,ASPENHOME,FURN,BED,FVI,506.51
I262-453,DRESSER PAXTON,ASPENHOME,FURN,BED,FVI,858.52
I262-462,MIRROR PAXTON,ASPENHOME,FURN,BED,FVI,262.63
IML-402-GRY,RAILS MODERN LOFT GRAY-Q,ASPENHOME,FURN,BED,FVI,72.39
IML-403-GRY,FB MODERN LOFT GRAY-Q,ASPENHOME,FURN,BED,FVI,83.23
IML-406-GRY,RAILS MODERN LOFT GRAY-EK,ASPENHOME,FURN,BED,FVI,119.00
IML-407-GRY,FB MODERN LOFT GRAY-K,ASPENHOME,FURN,BED,FVI,134.67
IML-407D-GRY,FB W/STORAGE MOD. LOFT-K,ASPENHOME,FURN,BED,FVI,318.00
IML-410-GRY,RAILS MODERN LOFT GRAY-CK,ASPENHOME,FURN,BED,FVI,112.82
IML-412-GRY,HB MODERN LOFT GRAY-Q,ASPENHOME,FURN,BED,FVI,177.40
IML-415-GRY,HB MODERN LOFT GRAY-K,ASPENHOME,FURN,BED,FVI,269.00
IML-450-BRN,2-DRAWER NS MODERN LOFT- BROWN,ASPENHOME,FURN,BED,FVI,211.38
IML-450-GRY,2-DRAWER NS MODERN LOFT -GRAY,ASPENHOME,FURN,BED,FVI,219.00
IML-453-BRN,DRESSER MODERN LOFT-BROWNSTONE,ASPENHOME,FURN,BED,FVI,481.13
IML-453-GRY,DRESSER MODERN LOFT -GRAY,ASPENHOME,FURN,BED,FVI,482.15
IML-457-GRY,DOOR CHEST MODERN LOFT -GRAY,ASPENHOME,FURN,BED,FVI,662.93
IML-474-BRN,HB MODERN LOFT PLATFORM BRWN-K,ASPENHOME,FURN,BED,FVI,472.82
IML-476-BRN,FB MODERN LOFT PLATFRM BROWN-K,ASPENHOME,FURN,BED,FVI,128.82
IML-477-BRN,RAILS MODERN LOFT BROWN-CK,ASPENHOME,FURN,BED,FVI,198.77
MILLCREEK-STORAGE-EK,E KING MILLCREE KINGSTORAGE BED,ASPENHOME,FURN,BED,FVI,0.00
MILLCREEK-STORAGE-Q,QUEEN MILLCREE KINGSTORAGE BED,ASPENHOME,FURN,BED,FVI,0.00
MODERNLOFT-PANEL-Q,QUEEN MODERN LOFT PANEL -GRAY,ASPENHOME,FURN,BED,FVI,0.00
ZANE-PANEL-EK,E KING ZANE PANEL BED,ASPENHOME,FURN,BED,FVI,0.00
ZANE-PANEL-Q,QUEEN ZANE PANEL BED,ASPENHOME,FURN,BED,FVI,0.00
BT2000LP-CK,CAKING ADJUST BT2000,BEDTECH,ADJUST,CKADJ,BTECH,506.00
BT2000LP-FL,FULL ADJUST BT2000,BEDTECH,ADJUST,FUADJ,BTECH,366.00
BT2000LP-KG,E KING 1-PC ADJUST BT2000,BEDTECH,ADJUST,EKADJ,BTECH,506.00
BT2000LP-QN,QUEEN ADJUST BT2000,BEDTECH,ADJUST,QUADJ,BTECH,366.00
BT2000LP-TXL,TWINXL ADJUST BT2000,BEDTECH,ADJUST,TXLADJ,BTECH,300.00
BT3000LP-KG,E KING 1-PC ADJUST BT3000,BEDTECH,ADJUST,EKADJ,BTECH,617.00
BT3000LP-QN,QUEEN ADJUST BT3000,BEDTECH,ADJUST,QUADJ,BTECH,475.00
BT6500-KG,E KING 1-PC ADJUST BT6500,BEDTECH,ADJUST,EKADJ,BTECH,776.00
BT6500-QN,QUEEN ADJUST BT6500,BEDTECH,ADJUST,QUADJ,BTECH,600.00
BT6500-TXL,TWINXL ADJUST BT6500,BEDTECH,ADJUST,TXLADJ,BTECH,559.00
BT9000-QN,QUEEN ADJUST BT9000,BEDTECH,ADJUST,QUADJ,BTECH,1080.00
XPLAT-FL,FULL X-PLAT BED FRAME,BEDTECH,BED,BEDFRA,BTECH,140.40
XPLAT-QN,QUEEN X-PLAT BED FRAME,BEDTECH,BED,BEDFRA,BTECH,145.80
XPLAT-TW,TWIN X-PLAT BED FRAME,BEDTECH,BED,BEDFRA,BTECH,118.80
6650-5/0,QUEEN MILLBROOK DUVET,BIA,TOPBED,TOPPER,BIA,500.00
8245-3/3,"TWIN BB UNIVERSAL BLACK FND 2""",BIA,FOUND,TWFND,BIA,70.00
8245-36X84,"SPLIT CK BB UNIVER BLK  FND 2""",BIA,FOUND,SCKFND,BIA,80.00
8245-3X,"TWINXL BB UNIVERSAL BLK FND 2""",BIA,FOUND,TXLFND,BIA,80.00
8245-4/6,"FULL BB UNIVERSAL BLACK FND 2""",BIA,FOUND,FUFND,BIA,90.00
8245-4XL,"F-XL BB UNIVERSAL BLACK FND 2""",BIA,FOUND,FXLFND,BIA,100.00
8245-5/0,"QUEEN BB UNIVERSAL BLK FND 2""",BIA,FOUND,QUFND,BIA,100.00
8245-QSB,"SPLIT QN  BB UNVRSL BLK FND 2""",BIA,FOUND,QUFND,BIA,80.00
8246-3/3,"TWIN LP UNIVERSAL BLACK FND 5""",BIA,FOUND,TWFND,BIA,70.00
8246-30X80,"SPLIT QU LP FND 5"" - 30x80",BIA,FOUND,QUFND,BIA,60.00
8246-36X84,"SPLIT CK LP UNIVERS BLK FND 5""",BIA,FOUND,SCKFND,BIA,80.00
8246-3X,"TWINXL LP UNIVERSAL BLK FND 5""",BIA,FOUND,TXLFND,BIA,80.00
8246-4/6,"FULL LP UNIVERSAL BLACK FND 5""",BIA,FOUND,FUFND,BIA,90.00
8246-5/0,"QUEEN LP UNIVERSAL BLK FND 5""",BIA,FOUND,QUFND,BIA,100.00
8546-27X75,"FULL-SPLIT UNVRSL BLK FND 9""",BIA,FOUND,FUFND,BIA,80.00
8546-3/3,"TWIN UNIVERSAL BLACK FND 9""",BIA,FOUND,TWFND,BIA,70.00
8546-36X84,"SPLIT CK UNIVERSAL BLK  FND 9""",BIA,FOUND,SCKFND,BIA,80.00
8546-3X,"TWINXL UNIVERSAL BLK FND 9""",BIA,FOUND,TXLFND,BIA,80.00
8546-4/6,"FULL UNIVERSAL BLACK FND 9""",BIA,FOUND,FUFND,BIA,90.00
8546-4XL,"FULLXL UNIVERSAL BLACK FND 9""",BIA,FOUND,FXLFND,BIA,100.00
8546-5/0,"QUEEN UNIVERSAL BLACK FND 9""",BIA,FOUND,QUFND,BIA,100.00
8546-SPCK,"SPLIT CK UNIVERSAL BLK  FND 9""",BIA,FOUND,SCKFND,BIA,80.00
8678-5/0,"QUEEN LP INSPIRED HD FND 5""",BIA,FOUND,QUFND,BIA,149.00
B38678-5/0,"QUEEN LP WHITE FND 5""",BIA,FOUND,QUFND,BIA,100.00
BBAUR13F36X84,SPLIT CK AURORA LUXE COOL FIRM,BROOKLYN,MATT,SPLCAK,SOUTH,395.00
BBAUR13F_FP-3980,TWINXL AURORA LUXE COOL  FIRM,BROOKLYN,MATT,TWINXL,SOUTH,385.00
BBAUR13F_FP-5475,FULL AURORA LUXE COOLING FIRM,BROOKLYN,MATT,FULL,SOUTH,455.00
BBAUR13F_FP-6080,QUEEN AURORA LUXE COOLING FIRM,BROOKLYN,MATT,QUEEN,SOUTH,500.00
BBAUR13F_FP-7680,E KING AURORA LUXE COOL FIRM,BROOKLYN,MATT,KING,SOUTH,640.00
BBAUR13M_FP-5475,FULL AURORA LUXE COOLING MED,BROOKLYN,MATT,FULL,SOUTH,455.00
BBAUR13M_FP-6080,QUEEN AURORA LUXE COOLING MED,BROOKLYN,MATT,QUEEN,SOUTH,500.00
BBAUR13M_FP-7680,E KING AURORA LUXE COOL MEDIUM,BROOKLYN,MATT,KING,SOUTH,640.00
BBAUR14M_FP-7680,E KINGAURORA LUXE CLOUD PT MEDIUM,BROOKLYN,MATT,KING,SOUTH,705.00
BBS13F_FP-3975,TWIN SIGNATURE HYBRID FIRM,BROOKLYN,MATT,TWIN,SOUTH,280.00
BBS13F_FP-5475,FULL SIGNATURE HYBRID FIRM,BROOKLYN,MATT,FULL,SOUTH,360.00
BBS13F_FP-6080,QUEEN SIGNATURE HYBRID FIRM,BROOKLYN,MATT,QUEEN,SOUTH,385.00
BBS13F_FP-7680,E KING SIGNATURE HYBRID FIRM,BROOKLYN,MATT,KING,SOUTH,500.00
BBS13M_FP-5475,FULL SIGNATURE HYBRID MEDIUM,BROOKLYN,MATT,FULL,SOUTH,360.00
BBS13M_FP-6080,QUEEN SIGNATURE HYBRID MEDIUM,BROOKLYN,MATT,QUEEN,SOUTH,385.00
BBS13M_FP-7680,E KING SIGNATURE HYBRID MEDIUM,BROOKLYN,MATT,KING,SOUTH,500.00
RECYCLINGFEE,RECYCLING FEE,CAMRC,RF,RF,CAMRC,6.50
B-MTFND9-3684,"SPLIT CK WHITE FND 9""`",CANN,FOUND,SCKFND,CANN,66.00
PBN-AHBFND4-3684,"SPLIT CK LP AHB JAUNE 4"" FND",CANN,FOUND,SCKFND,CANN,155.00
SAM-18002-ET-CK,CAKING FRANKLIN MATTRESS,CANN,MATT,CAKING,CANN,1300.00
SAM-18002-ET-K,E KING FRANKLIN MATTRESS,CANN,MATT,KING,CANN,1684.00
SAM-18002-ET-Q,QUEEN FRANKLIN MATTRESS,CANN,MATT,QUEEN,CANN,1070.00
SB-PER20-04-33XL,TWINXL HONOR BOX 4,CANN,FOUND,TXLFND,CANN,57.00
SB-PER20-04-66,TWINXL HONOR BOX 9,CANN,FOUND,TXLFND,CANN,114.00
SB-PER20-09-33XL,TWINXL HONOR BOX 9,CANN,FOUND,TXLFND,CANN,57.00
SB-PER24-33XL,TWINXL TOWER 9,CANN,FOUND,TXLFND,CANN,57.00
SB-SAR27-09-3300,"TWIN SPRING AIR FND 9""",CANN,FOUND,TWFND,CANN,40.00
SB-SAR2709-3300,"TWIN SPRING AIR BROWN BOX 9""",CANN,FOUND,TWFND,CANN,49.00
SM-CAMBRFM-50,QUEEN CAMBRIA FIRM,CANN,MATT,QUEEN,CANN,284.00
SM-CAMBRFM-66,E KING CAMBRIA FIRM,CANN,MATT,KING,CANN,382.00
SM-CAMBRFM-67,CAKING CAMBRIA FIRM,CANN,MATT,CAKING,CANN,382.00
SM-CAMBRFPT-50,QUEEN CAMBRIA P/T,CANN,MATT,QUEEN,CANN,284.00
SM-CAMBRFPT-66,E KING CAMBRIA P/T,CANN,MATT,KING,CANN,382.00
SM-CHRISTET-5000,QUEEN CHRISTIAN EUROTOP,CANN,MATT,QUEEN,CANN,314.58
SM-CHRISTET-6600,E KING CHRISTIAN EUROTOP,CANN,MATT,KING,CANN,428.00
SM-CHRISTFM-4600,FULL CHRISTIAN FIRM,CANN,MATT,FULL,CANN,250.00
SM-CHRISTFM-5000,QUEEN CHRISTIAN FIRM,CANN,MATT,QUEEN,CANN,284.00
SM-CHRISTFM-6600,E KING CHRISTIAN FIRM,CANN,MATT,KING,CANN,390.00
SM-CHRISTPL-5000,QUEEN CHRISTIAN PLUSH,CANN,MATT,QUEEN,CANN,284.00
SM-CHRISTPL-6600,E KING CHRISTIAN PLUSH,CANN,MATT,KING,CANN,390.00
SM-CHRISTPL-6700,CAKING CHRISTIAN PLUSH,CANN,MATT,CAKING,CANN,390.00
SM-CHRISTXF-5000,QUEEN CHRISTIAN XFIRM,CANN,MATT,QUEEN,CANN,260.00
SM-CHRISTXF-6600,E KING CHRISTIAN XFIRM,CANN,MATT,KING,CANN,370.00
SM-CHRISTXF-6700,CAKING CHRISTIAN XFIRM,CANN,MATT,CAKING,CANN,370.00
SM-CLINTONFM-33XL,TWINXL CLINTON FIRM,CANN,MATT,TWINXL,CANN,129.15
SM-DONNAET-4600,FULL DONNA EUROTOP,CANN,MATT,FULL,CANN,481.50
SM-DONNAET-5000,QUEEN DONNA EUROTOP,CANN,MATT,QUEEN,CANN,517.88
SM-DONNAET-6600,E KING DONNA EUROTOP,CANN,MATT,KING,CANN,678.38
SM-DONNAFM-5000,QUEEN DONNA FIRM,CANN,MATT,QUEEN,CANN,517.88
SM-DONNAFM-6600,E KING DONNA FIRM,CANN,MATT,KING,CANN,678.38
SM-DONNAPL-5000,QUEEN DONNA PLUSH,CANN,MATT,QUEEN,CANN,484.00
SM-DONNAPL-6600,E KING DONNA PLUSH,CANN,MATT,KING,CANN,634.00
SM-HERMOSAET-46,FULL HERMOSA P/T,CANN,MATT,FULL,CANN,384.00
SM-HERMOSAET-50,QUEEN HERMOSA P/T,CANN,MATT,QUEEN,CANN,434.00
SM-HERMOSAET-66,E KING HERMOSA P/T,CANN,MATT,KING,CANN,572.00
SM-HERMOSAET-67,CAKING HERMOSA P/T,CANN,MATT,CAKING,CANN,572.00
SM-PISMOFM-33,TWIN PISMO FIRM,CANN,MATT,TWIN,CANN,237.00
SM-PISMOFM-46,FULL PISMO FIRM,CANN,MATT,FULL,CANN,304.00
SM-PISMOFM-50,QUEEN PISMO FIRM,CANN,MATT,QUEEN,CANN,334.00
SM-PISMOFM-66,E KING PISMO FIRM,CANN,MATT,KING,CANN,452.00
SM-PISMOFM-67,CAKING PISMO FIRM,CANN,MATT,CAKING,CANN,452.00
SM-PISMOVPT-46,FULL PISMO P/T,CANN,MATT,FULL,CANN,304.00
SM-PISMOVPT-50,QUEEN PISMO P/T,CANN,MATT,QUEEN,CANN,334.00
SM-PISMOVPT-66,E KING PISMO P/T,CANN,MATT,KING,CANN,452.00
SM-PISMOVPT-67,CAKING PISMO P/T,CANN,MATT,CAKING,CANN,452.00
SM-SAOSUNLUX-5000,QUEEN SUNRISE LUX,CANN,MATT,QUEEN,CANN,1064.00
SM-SAOSUNLUX-6600,E KING SUNRISE LUX,CANN,MATT,KING,CANN,1344.00
SM-SPIRITET46XL,FULLXL SPIRIT EUROTOP,CANN,MATT,FULLXL,CANN,616.02
SM-SPIRITFM66,E KING SPIRIT FIRM,CANN,MATT,KING,CANN,579.11
SM-YVESFM-5000,QUEEN YVES FIRM,CANN,MATT,QUEEN,CANN,334.00
SM-YVESFM-6600,E KING YVES FIRM,CANN,MATT,KING,CANN,440.00
SM-YVESPL-5000,QUEEN YVES PLUSH,CANN,MATT,QUEEN,CANN,334.00
SM-YVESPL-6600,E KING YVES PLUSH,CANN,MATT,KING,CANN,440.00
SMROYPALPT46,FULL ROYAL PALM PT,CANN,FURN,BED,CANN,164.00
SYDNEYLEAHK,E KING SYDNEY LEAH JAUNE,CANN,MATT,KING,CANN,880.00
C&W-BP,CHATTAM&WELLS BODY PILLOW,CHATTAM,PILLOW,PILLOW,CANN,0.00
C&W-FP,CHATTAM&WELLS FOOT PROTECTOR,CHATTAM,PILLOW,PILLOW,CANN,0.00
CW-2100XF-6600,"E KING CASERTA EXTRA FIRM 13""",CHATTAM,MATT,KING,CANN,1105.00
CW-2101FM-3300,TWIN LISMORE ROYAL KNIT FM,CHATTAM,MATT,TWIN,CANN,662.00
CW-2101FM-33XL,TWINXL LISMORE ROYAL KNIT FM,CHATTAM,MATT,TWINXL,CANN,718.00
CW-2101FM-4600,FULL LISMORE ROYAL KNIT FM,CHATTAM,MATT,FULL,CANN,884.00
CW-2101FM-5000,QUEEN LISMORE ROYAL KNIT FM,CHATTAM,MATT,QUEEN,CANN,994.00
CW-2101FM-6600,E KING LISMORE ROYAL KNIT FM,CHATTAM,MATT,KING,CANN,1243.00
CW-2101FM-6700,CAKING LISMORE ROYAL KNIT FM,CHATTAM,MATT,CAKING,CANN,1243.00
CW-2102PL-5000,QUEEN MIRAMARE ROYAL KNIT LUX,CHATTAM,MATT,QUEEN,CANN,1104.00
CW-2102PL-6600,E KING MIRAMARE ROYAL KNIT LUX,CHATTAM,MATT,KING,CANN,1380.00
CW-2103PL-33XL,TWINXL CHANTILLY  ROYAL KNT PS,CHATTAM,MATT,TWINXL,CANN,938.00
CW-2103PL-5000,QUEEN CHANTILLY ROYAL KNIT PS,CHATTAM,MATT,QUEEN,CANN,1324.00
CW-2103PL-6600,E KING CHANTILLY ROYAL KNIT PS,CHATTAM,MATT,KING,CANN,1655.00
CW-2104ET-3300,TWIN ASHFORD DAMASK ET,CHATTAM,MATT,TWIN,CANN,992.00
CW-2104ET-33XL,TWINXL ASHFORD DAMASK ET,CHATTAM,MATT,TWINXL,CANN,1048.00
CW-2104ET-4600,FULL ASHFORD DAMASK ET,CHATTAM,MATT,FULL,CANN,1564.00
CW-2104ET-5000,QUEEN ASHFORD DAMASK ET,CHATTAM,MATT,QUEEN,CANN,1489.00
CW-2104ET-6600,E KING ASHFORD DAMASK ET,CHATTAM,MATT,KING,CANN,1765.00
CW-2104ET-6700,CAKING ASHFORD DAMASK ET,CHATTAM,MATT,CAKING,CANN,1765.00
CW-2105ET-5000,QUEEN KENSINGTON DAMASK ET,CHATTAM,MATT,QUEEN,CANN,1984.00
CW-2105ET-6600,E KING KENSINGTON DAMASK ET,CHATTAM,MATT,KING,CANN,2480.00
CW-2105ET-6700,CAKING KENSINGTON DAMASK ET,CHATTAM,MATT,CAKING,CANN,2480.00
CW-2105LTDET-6600,E KING KENSINGTON LIMITED ET,CHATTAM,MATT,KING,CANN,2480.00
CW-2106ET-3684,SPLIT CK WINDSOR ROYAL DAMASK,CHATTAM,MATT,SPLCAK,CANN,1708.00
CW-2106ET-5000,QUEEN WINDSOR ROYAL DAMASK ET,CHATTAM,MATT,QUEEN,CANN,2479.00
CW-2106ET-6600,E KING WINDSOR ROYAL DAMASK ET,CHATTAM,MATT,KING,CANN,2865.00
CW-2106ET-6700,CAKING WINDSOR ROYAL DAMASK ET,CHATTAM,MATT,CAKING,CANN,2865.00
CW-2107ET-6600,E KING BUCKINGHAM DAMASK ET,CHATTAM,MATT,KING,CANN,3085.00
CW-2107ET-6700,CAKING BUCKINGHAM DAMASK ET,CHATTAM,MATT,CAKING,CANN,3085.00
CW-2201FM-3684,SPLIT CK LISMORE ROYAL KNIT FM,CHATTAM,MATT,SPLCAK,CANN,718.00
CWB-FND01-04-3300,"TWIN LP HD CHATTAM FND 4""",CHATTAM,FOUND,TWFND,CANN,165.00
CWB-FND01-04-33XL,"TWINXL LP HD CHATTAM FND 4""",CHATTAM,FOUND,TXLFND,CANN,185.00
CWB-FND01-04-3684,"SPLIT CK LP HD CHATTAM FND 4""",CHATTAM,FOUND,SCKFND,CANN,185.00
CWB-FND01-04-4600,"FULL LP HD CHATTAM FND 4""",CHATTAM,FOUND,FUFND,CANN,200.00
CWB-FND01-04-5000,"QUEEN LP HD CHATTAM FND 4""",CHATTAM,FOUND,QUFND,CANN,240.00
CWB-FND01-09-3300,"TWIN HD CHATTAM FND 9""",CHATTAM,FOUND,TWFND,CANN,165.00
CWB-FND01-09-33XL,"TWINXL HD CHATTAM FND 9""",CHATTAM,FOUND,TXLFND,CANN,185.00
CWB-FND01-09-3684,"SPLIT CK HD CHATTAM FND 9""",CHATTAM,FOUND,SCKFND,CANN,185.00
CWB-FND01-09-4600,"FULL HD CHATTAM FND 9""",CHATTAM,FOUND,FUFND,CANN,200.00
CWB-FND01-09-5000,"QUEEN HD CHATTAM FND 9""",CHATTAM,FOUND,QUFND,CANN,240.00
CWB-SPRPLT-33XL,"TWINXL BB HD CHATTAM FND 2""",CHATTAM,FOUND,TXLFND,CANN,185.00
CWB-SPRPLT-4600,"FULL BB HD CHATTAM FND 2""",CHATTAM,FOUND,FUFND,CANN,200.00
POPCWFP01-5000,QUEEN CHATTAM POP,CHATTAM,PROT,QUPRO,CANN,0.00
SAM-18013-FM-Q,QUEEN ADELAIDE FIRM MATTRESS,CHATTAM,MATT,QUEEN,CANN,836.00
SAM-18015-LF-EK,E KING CARLTON LUXURY FIRM,CHATTAM,MATT,KING,CANN,984.90
SAM-18016-VP-Q,QUEEN WESTON PILLOWTOP,CHATTAM,MATT,QUEEN,CANN,904.05
SAM-18017-ET-33XL,TWINXL GENEVA EUROTOP,CHATTAM,MATT,TWINXL,CANN,973.00
SAM-18017-ET-Q,QUEEN GENEVA EUROTOP,CHATTAM,MATT,QUEEN,CANN,1106.70
SAM-18018-ET-EK,E KING KINGSTON EUROTOP,CHATTAM,MATT,KING,CANN,1754.55
BIBCHEERFF,FULL BIB CHEER FIRM,DIAMO,MATT,FULL,DIAMO,483.00
BIBCHEERFK,E KING BIB CHEER FIRM,DIAMO,MATT,KING,DIAMO,792.00
BIBCHEERFQ,QUEEN BIB CHEER FIRM,DIAMO,MATT,QUEEN,DIAMO,523.00
BIBCHEERMDF,FULL BIB CHEER MEDIUM,DIAMO,MATT,FULL,DIAMO,483.00
BIBCHEERMK,E KING BIB CHEER MEDIUM,DIAMO,MATT,KING,DIAMO,792.00
BIBCHEERMQ,QUEEN BIB CHEER MEDIUM,DIAMO,MATT,QUEEN,DIAMO,523.00
BIBCHEERMT,TWIN BIB CHEER MEDIUM,DIAMO,MATT,TWIN,DIAMO,378.00
BIBCHEERPCK,CAKING BIB CHEER PLUSH,DIAMO,MATT,CAKING,DIAMO,667.00
BIBCHEERPF,FULL BIB CHEER PLUSH,DIAMO,MATT,FULL,DIAMO,483.00
BIBCHEERPFXL,FULLXL BIB CHEER PLUSH,DIAMO,MATT,FULLXL,DIAMO,523.00
BIBCHEERPK,E KING BIB CHEER PLUSH,DIAMO,MATT,KING,DIAMO,792.00
